Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households
AB1 0,57.1003,-2.25814,384459,801065,NJ844010,231,0,,
AB1 1,57.1497,-2.10779,393577,806540,NJ935065,290,0,,
AB1 2,57.1413,-2.10079,393999,805604,NJ939056,325,0,,
AB1 3,57.1355,-2.08174,395151,804957,NJ951049,224,0,,
AB1 4,57.0949,-2.10282,393869,800439,NJ938004,302,0,,
AB1 5,57.1166,-2.1142,393183,802856,NJ931028,217,0,,
AB1 6,57.1363,-2.12329,392637,805050,NJ926050,331,0,,
AB1 7,57.1275,-2.14021,391610,804072,NJ916040,326,0,,
AB1 8,57.1452,-2.19522,388286,806051,NJ882060,193,0,,
AB1 9,57.118,-2.18642,388810,803022,NJ888030,216,0,,
AB2 0,57.2255,-2.21146,387331,814993,NJ873149,355,0,,
AB2 1,57.1579,-2.09048,394626,807452,NJ946074,295,0,,
AB2 2,57.1697,-2.1261,392473,808769,NJ924087,313,0,,
AB2 3,57.1591,-2.10717,393616,807586,NJ936075,302,0,,
AB2 4,57.1488,-2.12493,392540,806442,NJ925064,337,0,,
AB2 5,57.1599,-2.14562,391291,807680,NJ912076,302,0,,
AB2 6,57.1512,-2.16327,390221,806714,NJ902067,347,0,,
AB2 7,57.1676,-2.15882,390494,808539,NJ904085,217,0,,
AB2 8,57.1867,-2.10998,393451,810659,NJ934106,366,0,,
AB2 9,57.1797,-2.18397,388977,809889,NJ889098,236,0,,
AB3 1,56.8472,-2.47933,370861,772963,NO708729,227,0,,
AB3 2,56.9751,-2.22391,386487,787121,NO864871,381,0,,
AB3 3,57.0539,-2.46245,372046,795966,NO720959,279,0,,
AB3 4,57.1107,-2.67358,359301,802395,NJ593023,259,0,,
AB3 5,57.0623,-2.94508,342783,797203,NO427972,280,0,,
AB3 6,57.1524,-2.30293,381771,806876,NJ817068,191,0,,
AB3 7,57.1829,-2.4931,370291,810339,NJ702103,144,0,,
